Iteration, Maximum_Velocity
1368,4.43968
1369,4.46758
1370,4.49265
1371,4.51509
1372,4.53522
1373,4.5532
1374,4.56897
1375,4.58278
1376,4.59471
1377,4.60468
1378,4.61275
1379,4.61907
1380,4.62366
1381,4.62652
1382,4.62763
1383,4.6268
1384,4.62398
1385,4.61912
1386,4.61215
1387,4.60294
1388,4.59139
1389,4.57739
1390,4.5608
1391,4.54149
1392,4.51929
1393,4.49409
1394,4.46572
1395,4.43398
1396,4.3987
1397,4.3597
1398,4.31683
1399,4.27001
1400,4.2191
1401,4.18571
1402,4.17314
1403,4.15767
1404,4.13931
1405,4.11808
1406,4.09404
1407,4.06723
1408,4.03772
1409,4.00558
1410,3.9709
1411,3.93381
1412,3.89443
1413,3.85292
1414,3.80944
1415,3.76419
1416,3.73331
1417,3.71993
1418,3.70486
1419,3.68808
1420,3.6791
1421,3.68639
1422,3.69348
1423,3.70033
1424,3.70694
1425,3.71328
1426,3.71934
1427,3.76471
1428,3.81423
1429,3.85957
1430,3.90069
1431,3.93767
1432,3.97058
1433,3.99938
1434,4.02423
1435,4.04528
1436,4.06274
1437,4.07682
1438,4.08775
1439,4.09578
1440,4.10113
1441,4.10406
1442,4.10481
1443,4.10361
1444,4.10084
1445,4.09672
1446,4.0913
1447,4.08477
1448,4.0773
1449,4.06909
1450,4.06046
1451,4.0515
1452,4.04217
1453,4.03257
1454,4.0228
1455,4.01292
1456,4.00301
1457,3.99309
1458,3.98322
1459,3.97342
1460,3.96371
1461,3.95409
1462,3.94457
1463,3.93514
1464,3.92582
1465,3.91659
1466,3.90743
1467,3.89831
1468,3.88922
1469,3.88015
1470,3.87108
1471,3.86199
1472,3.85568
1473,3.85179
1474,3.84651
1475,3.8398
1476,3.8316
1477,3.82187
1478,3.81057
1479,3.79763
1480,3.783
1481,3.76732
1482,3.7573
1483,3.76091
1484,3.76337
1485,3.76303
1486,3.75991
1487,3.75404
1488,3.74545
1489,3.7342
1490,3.72033
1491,3.70391
1492,3.685
1493,3.66369
1494,3.64006
1495,3.61789
1496,3.60661
1497,3.59529
1498,3.58405
1499,3.5729
1500,3.56173
1501,3.55052
1502,3.5393
1503,3.52806
1504,3.5169
1505,3.51873
1506,3.52267
1507,3.52503
1508,3.52597
1509,3.52552
1510,3.52357
