Iteration,Mean Rebuild Frequency
1345,13.5946
1346,13.6081
1347,13.6216
1348,13.6351
1349,13.6486
1350,13.6622
1351,13.6757
1352,13.6892
1353,13.52
1354,13.5333
1355,13.5467
1356,13.56
1357,13.5733
1358,13.5867
1359,13.6
1360,13.6133
1361,13.6267
1362,13.64
1363,13.6533
1364,13.6667
1365,13.68
1366,13.6933
1367,13.5263
1368,13.5395
1369,13.5526
1370,13.5658
1371,13.5789
1372,13.5921
1373,13.6053
1374,13.6184
1375,13.6316
1376,13.6447
1377,13.6579
1378,13.6711
1379,13.6842
1380,13.5195
1381,13.5325
1382,13.5455
1383,13.5584
1384,13.5714
1385,13.5844
1386,13.5974
1387,13.6104
1388,13.6234
1389,13.6364
1390,13.6494
1391,13.6623
1392,13.5
1393,13.5128
1394,13.5256
1395,13.5385
1396,13.5513
1397,13.5641
1398,13.5769
1399,13.5897
1400,13.6026
1401,13.6154
1402,13.6282
1403,13.641
1404,13.6538
1405,13.4937
1406,13.5063
1407,13.519
1408,13.5316
1409,13.5443
1410,13.557
1411,13.5696
1412,13.5823
1413,13.5949
1414,13.6076
1415,13.6203
1416,13.6329
1417,13.6456
1418,13.6582
1419,13.6709
1420,13.5125
1421,13.525
1422,13.5375
1423,13.55
1424,13.5625
1425,13.575
1426,13.5875
1427,13.6
1428,13.6125
1429,13.625
1430,13.6375
1431,13.65
1432,13.6625
1433,13.675
1434,13.6875
1435,13.5309
1436,13.5432
1437,13.5556
1438,13.5679
1439,13.5802
1440,13.5926
1441,13.6049
1442,13.6173
1443,13.6296
1444,13.642
1445,13.6543
1446,13.6667
1447,13.679
1448,13.6914
1449,13.5366
1450,13.5488
1451,13.561
1452,13.5732
1453,13.5854
1454,13.5976
1455,13.6098
1456,13.622
1457,13.6341
1458,13.6463
1459,13.6585
1460,13.6707
1461,13.6829
1462,13.6951
1463,13.5422
1464,13.5542
1465,13.5663
1466,13.5783
1467,13.5904
1468,13.6024
1469,13.6145
1470,13.6265
1471,13.6386
1472,13.6506
1473,13.6627
1474,13.6747
1475,13.6867
1476,13.6988
1477,13.7108
1478,13.5595
1479,13.5714
1480,13.5833
1481,13.5952
1482,13.6071
1483,13.619
1484,13.631
1485,13.6429
1486,13.6548
1487,13.6667
1488,13.6786
1489,13.6905
1490,13.7024
1491,13.7143
1492,13.7262
1493,13.5765
1494,13.5882
1495,13.6
1496,13.6118
1497,13.6235
1498,13.6353
1499,13.6471
1500,13.6588
1501,13.6706
1502,13.6824
1503,13.6941
1504,13.7059
1505,13.7176
1506,13.7294
1507,13.7412
1508,13.7529
1509,13.6047
1510,13.6163
1511,13.6279
1512,13.6395
1513,13.6512
1514,13.6628
1515,13.6744
1516,13.686
1517,13.6977
1518,13.7093
1519,13.7209
1520,13.7326
1521,13.7442
1522,13.7558
1523,13.7674
1524,13.7791
1525,13.6322
1526,13.6437
1527,13.6552
1528,13.6667
1529,13.6782
1530,13.6897
1531,13.7011
1532,13.7126
1533,13.7241
1534,13.7356
1535,13.7471
1536,13.7586
1537,13.7701
1538,13.7816
1539,13.7931
1540,13.8046
1541,13.6591
1542,13.6705
1543,13.6818
1544,13.6932
1545,13.7045
1546,13.7159
1547,13.7273
1548,13.7386
1549,13.75
1550,13.7614
1551,13.7727
1552,13.7841
1553,13.7955
1554,13.8068
1555,13.8182
1556,13.8295
1557,13.6854
1558,13.6966
1559,13.7079
1560,13.7191
1561,13.7303
1562,13.7416
1563,13.7528
1564,13.764
1565,13.7753
1566,13.7865
1567,13.7978
1568,13.809
1569,13.8202
1570,13.8315
1571,13.8427
1572,13.7
1573,13.7111
1574,13.7222
1575,13.7333
1576,13.7444
1577,13.7556
1578,13.7667
1579,13.7778
1580,13.7889
1581,13.8
1582,13.8111
1583,13.8222
1584,13.8333
1585,13.8444
1586,13.8556
1587,13.7143
1588,13.7253
1589,13.7363
1590,13.7473
1591,13.7582
1592,13.7692
1593,13.7802
1594,13.7912
1595,13.8022
1596,13.8132
1597,13.8242
1598,13.8352
1599,13.8462
1600,13.8571
1601,13.8681
1602,13.7283
1603,13.7391
1604,13.75
1605,13.7609
1606,13.7717
1607,13.7826
1608,13.7935
1609,13.8043
1610,13.8152
1611,13.8261
1612,13.837
1613,13.8478
1614,13.8587
1615,13.8696
1616,13.8804
1617,13.7419
1618,13.7527
1619,13.7634
1620,13.7742
1621,13.7849
1622,13.7957
1623,13.8065
1624,13.8172
1625,13.828
1626,13.8387
1627,13.8495
1628,13.8602
1629,13.871
1630,13.8817
1631,13.8925
1632,13.7553
1633,13.766
1634,13.7766
1635,13.7872
1636,13.7979
1637,13.8085
1638,13.8191
1639,13.8298
1640,13.8404
1641,13.8511
1642,13.8617
1643,13.8723
1644,13.883
1645,13.8936
1646,13.9043
1647,13.9149
1648,13.7789
1649,13.7895
1650,13.8
1651,13.8105
1652,13.8211
1653,13.8316
1654,13.8421
1655,13.8526
1656,13.8632
1657,13.8737
1658,13.8842
1659,13.8947
1660,13.9053
1661,13.9158
1662,13.9263
1663,13.9368
1664,13.8021
1665,13.8125
1666,13.8229
1667,13.8333
1668,13.8438
1669,13.8542
1670,13.8646
1671,13.875
1672,13.8854
1673,13.8958
1674,13.9062
1675,13.9167
1676,13.9271
1677,13.9375
1678,13.9479
1679,13.9583
1680,13.8247
1681,13.8351
1682,13.8454
1683,13.8557
1684,13.866
1685,13.8763
1686,13.8866
1687,13.8969
1688,13.9072
1689,13.9175
1690,13.9278
1691,13.9381
1692,13.9485
1693,13.9588
1694,13.9691
1695,13.8367
1696,13.8469
1697,13.8571
1698,13.8673
1699,13.8776
1700,13.8878
1701,13.898
1702,13.9082
1703,13.9184
1704,13.9286
1705,13.9388
1706,13.949
1707,13.9592
1708,13.9694
1709,13.9796
1710,13.8485
1711,13.8586
1712,13.8687
1713,13.8788
1714,13.8889
1715,13.899
1716,13.9091
1717,13.9192
1718,13.9293
1719,13.9394
1720,13.9495
1721,13.9596
1722,13.9697
1723,13.9798
1724,13.9899
1725,14
