Iteration, Estimated
1591,88.1101
1592,86.8052
1593,84.6536
1594,82.8863
1595,81.4528
1596,80.3116
1597,79.4281
1598,78.7743
1599,78.3274
1600,78.0694
1601,77.9859
1602,78.0656
1603,78.3005
1604,78.6847
1605,79.2145
1606,79.8878
1607,80.7046
1608,81.6658
1609,82.774
1610,84.0327
1611,85.4467
1612,86.6756
1613,86.4203
1614,86.3149
1615,86.3825
1616,86.6528
1617,87.1647
1618,87.2319
1619,87.215
1620,87.1993
1621,87.185
1622,87.172
1623,87.1603
1624,87.15
1625,87.141
1626,87.1334
1627,87.1272
1628,87.1225
1629,87.108
1630,87.0623
1631,87.0169
1632,86.9719
1633,86.9272
1634,86.8829
1635,86.8341
1636,86.4106
1637,86.1029
1638,85.9072
1639,85.821
1640,85.8427
1641,85.9718
1642,86.2083
1643,86.5015
1644,86.461
1645,86.4211
1646,86.3815
1647,86.0675
1648,85.2081
1649,84.6487
1650,84.3431
1651,84.2588
1652,84.3736
1653,84.6741
1654,84.8042
1655,84.4502
1656,84.1414
1657,83.8782
1658,83.6611
1659,83.4905
1660,83.367
1661,83.2915
1662,83.2647
1663,83.2876
1664,83.3612
1665,82.931
1666,82.4887
1667,82.1004
1668,81.7657
1669,81.4849
1670,81.2584
1671,81.0869
1672,80.9718
1673,80.9144
1674,80.9167
1675,80.9811
1676,81.1103
1677,81.3077
1678,81.5771
1679,81.9229
1680,82.3502
1681,82.865
1682,83.2771
1683,83.1782
1684,83.0948
1685,82.6512
1686,82.2547
1687,81.913
1688,81.6277
1689,81.4015
1690,81.2386
1691,81.1449
1692,81.1286
1693,81.2007
1694,81.3757
1695,81.6725
1696,82.116
1697,82.739
1698,83.5843
1699,83.8811
1700,83.8103
1701,83.7411
1702,83.6732
1703,83.6067
1704,83.5415
1705,83.4776
1706,83.4149
1707,83.3535
1708,83.2932
1709,83.234
1710,83.1759
1711,83.1189
1712,83.0628
1713,83.0078
1714,82.9536
1715,82.9004
1716,82.8481
1717,82.7966
1718,82.7458
1719,82.2182
1720,81.5387
1721,80.7155
1722,79.9651
1723,79.3523
1724,78.8635
1725,78.4867
1726,78.0476
1727,77.5676
1728,77.1183
1729,76.7005
1730,76.3154
1731,75.9646
1732,75.6497
1733,75.3729
1734,75.1367
1735,74.9441
1736,74.7986
1737,74.704
1738,74.665
1739,74.6866
1740,74.7749
1741,74.9367
1742,75.1796
1743,75.5126
1744,75.946
1745,76.4913
1746,77.162
1747,77.9736
1748,78.9439
1749,80.0935
1750,81.3882
1751,81.3504
1752,81.3128
1753,81.2753
1754,81.2379
1755,81.2006
1756,81.1634
1757,81.1263
1758,81.0893
1759,81.0524
1760,81.0156
1761,80.9788
1762,80.9421
1763,80.9055
1764,80.8689
1765,80.8324
1766,80.7959
1767,80.7595
1768,80.7231
1769,80.6868
1770,80.6505
1771,80.6142
1772,80.578
1773,80.5263
1774,80.4394
1775,80.2931
1776,80.0898
1777,80.0396
1778,80.1104
1779,80.0328
1780,79.957
1781,79.883
1782,79.8108
1783,79.7405
1784,79.672
1785,79.5884
1786,79.5405
1787,79.4774
1788,79.4161
1789,79.3567
1790,78.5541
1791,77.6827
1792,76.8819
1793,76.1416
1794,75.4534
1795,74.8101
1796,74.2059
1797,73.6361
1798,73.0969
1799,72.5853
1800,72.0992
1801,71.6369
1802,71.1973
1803,70.7797
1804,70.3838
1805,70.0095
1806,69.657
1807,69.3264
1808,69.0179
1809,68.7319
1810,68.4687
1811,68.2289
1812,68.0128
1813,67.8205
1814,67.6522
1815,67.5075
1816,67.3863
1817,67.2882
1818,67.2125
1819,67.1589
1820,67.1264
1821,67.1145
1822,67.1223
1823,67.1492
1824,67.1944
1825,67.2574
1826,67.3379
1827,67.4358
1828,67.5515
1829,67.6859
1830,67.8404
1831,68.0176
1832,68.2208
1833,68.4549
1834,68.7262
1835,69.0432
1836,69.4168
1837,69.8609
1838,70.393
1839,71.0353
1840,71.8154
1841,72.7676
1842,73.2568
1843,73.1444
1844,73.0506
1845,72.9734
1846,72.9112
1847,72.8632
1848,72.8291
1849,72.8091
1850,72.8043
1851,72.8161
1852,72.8469
1853,72.8995
1854,72.9772
1855,73.0843
1856,73.2253
1857,73.4055
1858,73.6309
1859,73.9078
1860,74.2433
1861,74.6452
1862,75.1218
1863,75.6821
1864,76.3359
1865,76.3206
1866,76.2679
1867,76.2156
1868,76.1636
1869,76.1119
1870,76.0606
1871,76.0097
1872,75.9591
1873,75.9088
1874,75.8588
1875,75.8092
1876,75.7598
1877,75.7107
1878,75.6619
1879,75.6134
1880,75.5651
1881,75.5171
1882,75.4694
1883,75.4219
1884,75.3747
1885,75.297
1886,75.1901
1887,75.0842
1888,74.9794
