Iteration, Estimate
1379,12.8713
1380,12.8595
1381,12.8522
1382,12.8494
1383,12.8515
1384,12.8587
1385,12.8712
1386,12.8891
1387,12.9129
1388,12.9429
1389,12.9794
1390,13.023
1391,13.0741
1392,13.1334
1393,13.2015
1394,13.279
1395,13.3669
1396,13.4661
1397,13.5776
1398,13.7025
1399,13.8418
1400,13.9967
1401,14.1004
1402,14.1398
1403,14.1888
1404,14.2473
1405,14.3155
1406,14.3937
1407,14.482
1408,14.5806
1409,14.6895
1410,14.8091
1411,14.9393
1412,15.0802
1413,15.2319
1414,15.3944
1415,15.5674
1416,15.6879
1417,15.7407
1418,15.8007
1419,15.868
1420,15.9043
1421,15.8748
1422,15.8463
1423,15.8188
1424,15.7924
1425,15.7671
1426,15.7431
1427,15.5654
1428,15.3763
1429,15.2074
1430,15.0576
1431,14.9256
1432,14.8102
1433,14.7107
1434,14.6261
1435,14.5552
1436,14.4969
1437,14.4503
1438,14.4143
1439,14.3881
1440,14.3706
1441,14.361
1442,14.3586
1443,14.3625
1444,14.3715
1445,14.385
1446,14.4027
1447,14.4241
1448,14.4487
1449,14.4759
1450,14.5045
1451,14.5344
1452,14.5656
1453,14.5979
1454,14.6309
1455,14.6645
1456,14.6983
1457,14.7323
1458,14.7664
1459,14.8003
1460,14.8341
1461,14.8678
1462,14.9013
1463,14.9346
1464,14.9677
1465,15.0006
1466,15.0334
1467,15.0662
1468,15.0991
1469,15.132
1470,15.1652
1471,15.1985
1472,15.2217
1473,15.2361
1474,15.2556
1475,15.2806
1476,15.3111
1477,15.3475
1478,15.3901
1479,15.4391
1480,15.495
1481,15.5553
1482,15.5941
1483,15.5801
1484,15.5706
1485,15.5719
1486,15.584
1487,15.6068
1488,15.6403
1489,15.6844
1490,15.7391
1491,15.8045
1492,15.8805
1493,15.967
1494,16.0642
1495,16.1565
1496,16.2039
1497,16.2518
1498,16.2996
1499,16.3473
1500,16.3955
1501,16.4441
1502,16.493
1503,16.5424
1504,16.5917
1505,16.5836
1506,16.5661
1507,16.5558
1508,16.5516
1509,16.5536
1510,16.5622
1511,16.5774
1512,16.5991
1513,16.6273
1514,16.6618
1515,16.6285
1516,16.5801
1517,16.5355
1518,16.4946
1519,16.4574
1520,16.424
1521,16.3942
1522,16.3682
1523,16.3461
1524,16.328
1525,16.314
1526,16.3045
1527,16.2996
1528,16.2997
1529,16.2754
1530,16.2172
1531,16.1672
1532,16.1253
1533,16.0914
1534,16.0651
1535,16.046
1536,16.0333
1537,16.0275
1538,16.0292
