Iteration, Maximum_Velocity
1000,4.47141
1001,4.69399
1002,4.69409
1003,4.69418
1004,4.69428
1005,4.69438
1006,4.69448
1007,4.69457
1008,4.69467
1009,4.69477
1010,4.69487
1011,4.69497
1012,4.69507
1013,4.69517
1014,4.69527
1015,4.69538
1016,4.69548
1017,4.69558
1018,4.69568
1019,4.69579
1020,4.69589
1021,4.696
1022,4.6961
1023,4.69621
1024,4.69631
1025,4.69642
1026,4.69653
1027,4.69663
1028,4.69674
1029,4.69685
1030,4.69696
1031,4.69707
1032,4.69718
1033,4.69729
1034,4.6974
1035,4.69751
1036,4.69763
1037,4.69774
1038,4.69785
1039,4.69796
1040,4.69808
1041,4.69819
1042,4.69831
1043,4.69842
1044,4.69854
1045,4.69866
1046,4.69877
1047,4.69889
1048,4.69901
1049,4.69913
1050,4.69924
1051,4.69936
1052,4.69948
1053,4.6996
1054,4.69973
1055,4.69985
1056,4.69997
1057,4.70009
1058,4.70021
1059,4.70034
1060,4.70046
1061,4.70059
1062,4.70071
1063,4.70084
1064,4.70096
1065,4.70109
1066,4.70122
1067,4.70134
1068,4.70147
1069,4.7016
1070,4.70173
1071,4.70186
1072,4.70199
1073,4.70212
1074,4.70225
1075,4.70238
1076,4.70252
1077,4.70265
1078,4.70278
1079,4.70292
1080,4.70305
1081,4.70319
1082,4.70332
1083,4.70346
1084,4.7036
1085,4.70374
1086,4.70387
1087,4.70401
1088,4.70415
1089,4.70429
1090,4.70443
1091,4.70457
1092,4.70471
1093,4.70486
1094,4.705
1095,4.70514
1096,4.70528
1097,4.70543
1098,4.70557
1099,4.70572
1100,4.70586
1101,4.92894
1102,4.92909
1103,4.92924
1104,4.92939
1105,4.92953
1106,4.92968
1107,4.92983
1108,4.92998
1109,4.93013
1110,4.93028
1111,4.93044
1112,4.93059
1113,4.93074
1114,4.93089
1115,4.93105
1116,4.9312
1117,4.93136
1118,4.93151
1119,4.93167
1120,4.93183
1121,4.93198
1122,4.93214
1123,4.9323
1124,4.93246
1125,4.93262
1126,4.93278
1127,4.93294
